,corr,name
Thap11,0.1180871194738187,Thap11
Peli1,-0.11808674745240517,Peli1
Lrif1,-0.11793682088314773,Lrif1
Hmgcr,-0.11792628710124449,Hmgcr
Vps53,0.11786730421995573,Vps53
Aasdh,-0.1178639014207969,Aasdh
Ces2c,-0.11781561360714482,Ces2c
Dpp7,-0.11776011997134028,Dpp7
Rbm4b,-0.11771413076062318,Rbm4b
Copg2,0.11770831964221604,Copg2
Cttn,0.1176621943261963,Cttn
Arpp19,-0.11746871357301794,Arpp19
Albfm1,-0.11744879245879203,Albfm1
Zgpat,-0.11740132156946484,Zgpat
Rnf125,0.11733873311520668,Rnf125
Bltp3a,0.1173142481716551,Bltp3a
Polr1c,0.11726469056455721,Polr1c
Hspa1b,0.1171953610898143,Hspa1b
Septin11,0.11708725557867498,Septin11
Galnt10,0.11695211723703462,Galnt10
Amigo2,0.11693322699375773,Amigo2
Inpp5e,-0.11690622196238995,Inpp5e
Mrpl21,-0.11686630982065789,Mrpl21
Alkbh1,-0.11674753206136677,Alkbh1
Aar2,0.11669703067334182,Aar2
Lmtk2,0.11664231022539832,Lmtk2
Rps2,-0.11657558954676835,Rps2
Rps20,-0.11655832492219392,Rps20
Romo1,-0.11654591236101718,Romo1
Med7,-0.11650875638960156,Med7
Acer2,0.11650631566279199,Acer2
Fubp1,-0.11647981637817627,Fubp1
Trim8,0.11633610919812802,Trim8
Pfkl,0.11629727829490599,Pfkl
Ccnl2,-0.11626339128359661,Ccnl2
Bcar1,0.11615992184643477,Bcar1
Tirap,-0.11599272260571432,Tirap
Lamc1,0.11596744211159649,Lamc1
Eya3,0.11596250927820828,Eya3
Clasrp,-0.1159617072412768,Clasrp
Anapc7,0.1159215302751947,Anapc7
Neo1,0.11591657900507497,Neo1
Pes1,0.11591119278944972,Pes1
Sec14l1,0.11588982620847652,Sec14l1
Dnajc2,-0.11588796917786108,Dnajc2
Drg1,0.11582728310273471,Drg1
Add3,0.1158222832629237,Add3
Phf20l1,-0.1156000526157639,Phf20l1
Swap70,0.11559425417450547,Swap70
P2ry1,0.11554895903520446,P2ry1
Rpl38,-0.11548413333882895,Rpl38
Maml1,0.11544182432382544,Maml1
Klc1,-0.11544070300996279,Klc1
Rsu1,0.11544056235550523,Rsu1
F2r,0.11541571153364875,F2r
Exoc3,0.11528414837249977,Exoc3
Acot3,0.11516349563259694,Acot3
Phf5a,-0.11510204020462171,Phf5a
Ralb,0.11505393720331232,Ralb
Acad12,0.11500130553709537,Acad12
Rfwd3,0.11489509187739143,Rfwd3
Gripap1,-0.11483646888872537,Gripap1
Kat14,0.11481295961380153,Kat14
